sample,haplotype,aws_fasta,gcp_fasta,fasta_sha256,Accession,familyID,Subpopulation,Superpopulation,Production Year,ASat-annotation-file,CAT_genes_chm13_annotation_file,CAT_genes_hg38_annotation_file,DNA_BRNN_annotation_file,Flagger_annotation_file,HSat_annotation_file,Repeat_masker_annotation_file,Seg_Dups_annotation_file,TRF_annotation_file,num_contigs,total_len,N50,L50,full_sgl,full_dup,frag,switch_err_rate,hamming_err_rate,qv
HG00621,maternal,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/HG00621.maternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/HG00621.maternal.f1_assembly_v2_genbank.fa.gz,1180dda57e968c6f9cf1902981038141f0905b395d44ea9a068131891d22e353,SAMN17861653,SH066,CHS,EAS,YR1,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00621-maternal.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00621.2.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00621.2.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00621.maternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00621.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00621.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00621.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00621.maternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00621.mat.trf.bed.gz,253.0,3023026071.0,50294217.0,19.0,34684.0,141.0,8.0,0.70%,0.60%,52.838
HG00621,paternal,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/HG00621.paternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/HG00621.paternal.f1_assembly_v2_genbank.fa.gz,bb7d30232f423cabf8d2ebf7443d15aa42bdbfe826424e89ac5f0ee33b0bc780,SAMN17861653,SH066,CHS,EAS,YR1,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00621-paternal.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00621.1.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00621.1.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00621.paternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00621.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00621.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00621.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00621.paternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00621.pat.trf.bed.gz,287.0,2905948993.0,54673245.0,19.0,34679.0,142.0,9.0,0.47%,0.55%,53.015
HG00673,maternal,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/HG00673.maternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/HG00673.maternal.f1_assembly_v2_genbank.fa.gz,0eef54ceca964b5a65c046529e5e433f0cb1a19d6d8a19485a292ae763e6a96c,SAMN17861654,SH079,CHS,EAS,YR1,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00673-maternal.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00673.2.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00673.2.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00673.maternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00673.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00673.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00673.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00673.maternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00673.mat.trf.bed.gz,348.0,3053585067.0,29077043.0,35.0,34683.0,163.0,11.0,0.96%,0.93%,53.151
HG00673,paternal,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/HG00673.paternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/HG00673.paternal.f1_assembly_v2_genbank.fa.gz,9650cdb2f090bb94dcb81d0cf9be27e2565de0489dc0d736e5d139c76f564f78,SAMN17861654,SH079,CHS,EAS,YR1,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00673-paternal.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00673.1.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00673.1.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00673.paternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00673.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00673.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00673.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00673.paternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00673.pat.trf.bed.gz,420.0,2925716157.0,34843587.0,30.0,34593.0,189.0,14.0,0.31%,0.27%,53.352
HG00733,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/HG00733.maternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/HG00733.maternal.f1_assembly_v2_genbank.fa.gz,c2963af8e63111ade4810bccfa059166db948f491551c2272e80f82a28c356ad,,,,,,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00733-maternal.bed,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00733.2.chm13.gff3.gz,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00733.2.hg38.gff3.gz,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00733.maternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00733.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00733.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00733.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00733.maternal.sedef.bedpe,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00733.mat.trf.bed.gz,609.0,3026533161.0,44647564.0,24.0,34667.0,151.0,11.0,0.98%,1.00%,54.823
HG00733,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/HG00733.paternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/HG00733.paternal.f1_assembly_v2_genbank.fa.gz,47f20b76eab03a22a1351e0e9efbd0ba43814911f9f17c37dba5cdc0583a8ae0,,,,,,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00733-paternal.bed,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00733.1.chm13.gff3.gz,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00733.1.hg38.gff3.gz,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00733.paternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00733.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00733.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00733.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00733.paternal.sedef.bedpe,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00733.pat.trf.bed.gz,680.0,3041978016.0,40994157.0,23.0,34722.0,149.0,11.0,0.98%,0.93%,54.558
HG00735,maternal,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/HG00735.maternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/HG00735.maternal.f1_assembly_v2_genbank.fa.gz,fdde1ce9c6f27c8d963eef5228ca657c65e89f95ece8947d06fca358ade18a39,SAMN17861655,PR06,PUR,AMR,YR1,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00735-maternal.bed,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00735.2.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00735.2.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00735.maternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00735.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00735.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00735.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00735.maternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00735.mat.trf.bed.gz,244.0,3037795105.0,56474489.0,18.0,34669.0,152.0,7.0,0.67%,0.71%,52.72
HG00735,paternal,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/HG00735.paternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/HG00735.paternal.f1_assembly_v2_genbank.fa.gz,117cd1556d9b9ea796e29b30db2cb4c6e77e90c9f9b1c074720cc4671403fb79,SAMN17861655,PR06,PUR,AMR,YR1,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00735-paternal.bed,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00735.1.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00735.1.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00735.paternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00735.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00735.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00735.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00735.paternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00735.pat.trf.bed.gz,299.0,3033541617.0,53422923.0,17.0,34671.0,145.0,11.0,0.97%,0.90%,52.711
HG00741,maternal,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/HG00741.maternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/HG00741.maternal.f1_assembly_v2_genbank.fa.gz,a756fc30621e5e887ce5bee0e3a76d4ab9093c846f90ac3c7e463f25e005fc46,SAMN17861656,PR09,PUR,AMR,YR1,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00741-maternal.bed,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00741.2.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00741.2.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00741.maternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00741.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00741.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00741.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00741.maternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00741.mat.trf.bed.gz,297.0,3036701854.0,41001116.0,23.0,34556.0,232.0,16.0,0.59%,0.54%,52.57
HG00741,paternal,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/HG00741.paternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/HG00741.paternal.f1_assembly_v2_genbank.fa.gz,e6121ba9df50914fb0459afd50a9527f7260f1fae8f9ec460cc7c4e61b5138b0,SAMN17861656,PR09,PUR,AMR,YR1,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00741-paternal.bed,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00741.1.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00741.1.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00741.paternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00741.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00741.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00741.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00741.paternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00741.pat.trf.bed.gz,289.0,3029878036.0,51040418.0,20.0,34706.0,130.0,12.0,1.09%,1.26%,52.421
HG01071,maternal,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/HG01071.maternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/HG01071.maternal.f1_assembly_v2_genbank.fa.gz,5e67e97c0275d46ad4b75b14365d1fd5000ed44cfc759710f61d146e7b7ce291,SAMN17861657,PR17,PUR,AMR,YR1,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01071-maternal.bed,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG01071.2.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG01071.2.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01071.maternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG01071.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01071.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG01071.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG01071.maternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG01071.mat.trf.bed.gz,236.0,3012710110.0,50125412.0,17.0,34591.0,176.0,14.0,0.91%,1.17%,51.285
HG01071,paternal,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/HG01071.paternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/HG01071.paternal.f1_assembly_v2_genbank.fa.gz,d5f5829d658e123a265459d7afa804537150febea6432dd28e47be58bdcd1cc9,SAMN17861657,PR17,PUR,AMR,YR1,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01071-paternal.bed,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG01071.1.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG01071.1.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01071.paternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG01071.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01071.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG01071.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG01071.paternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG01071.pat.trf.bed.gz,330.0,3057222025.0,55592407.0,18.0,34606.0,162.0,17.0,0.38%,0.40%,51.147
HG01106,maternal,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/HG01106.maternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/HG01106.maternal.f1_assembly_v2_genbank.fa.gz,13416e10902dd12476dedeb637c4b5a23c8b4d6e5f67044e720bd97a09133ba1,SAMN17861658,PR25,PUR,AMR,YR1,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01106-maternal.bed,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG01106.2.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG01106.2.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01106.maternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG01106.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01106.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG01106.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG01106.maternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG01106.mat.trf.bed.gz,272.0,3035845582.0,47714433.0,20.0,34711.0,113.0,7.0,0.45%,0.98%,53.394
