100kb+,1Mb+,200kb+,300kb+,400kb+,500kb+,DeepConsensus_version,Gb,MM_tag,N25,N50,N75,accession,assembly,basecaller,basecaller_model,basecaller_version,bioproject_accession,biosample_accession,ccs_algorithm,coverage,data_type,design_description,filename,filetype,generator_contact,generator_facility,instrument_model,library_ID,library_layout,library_selection,library_source,library_strategy,max,mean,min,notes,ntsm_result,ntsm_score,path,platform,polymerase_version,quartile_25,quartile_50,quartile_75,read_N50,result,sample,sample_ID,seq_kit,seq_plate_chemistry_version,shear_method,size_selection,study,title,total_Gbp,total_bp,total_reads,whales,Sample,Accession,familyID,Subpopulation,Superpopulation,Production Year
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242405,,N/A,N/A,N/A,PRJNA701308,SAMN33621941,N/A,11.66,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00140-1_S22_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00140-1_S22_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.497501,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00140,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00140,36.160735792,36160735792.0,N/A,N/A,HG00140,SAMN33621941,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242394,,N/A,N/A,N/A,PRJNA701308,SAMN33621941,N/A,12.02,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00140-1_S22_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00140-1_S22_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.464198,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00140,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00140,37.251792722,37251792722.0,N/A,N/A,HG00140,SAMN33621941,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242383,,N/A,N/A,N/A,PRJNA701308,SAMN33621941,N/A,3.76,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00140-2_S30_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00140-2_S30_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.605446,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00140,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00140,11.657507684,11657507684.0,N/A,N/A,HG00140,SAMN33621941,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242372,,N/A,N/A,N/A,PRJNA701308,SAMN33621941,N/A,3.86,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00140-2_S30_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00140-2_S30_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.595329,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00140,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00140,11.961656403,11961656403.0,N/A,N/A,HG00140,SAMN33621941,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242364,,N/A,N/A,N/A,PRJNA701308,SAMN33621941,N/A,3.67,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00140-2_S30_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00140-2_S30_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.605152,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00140,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00140,11.381920704,11381920704.0,N/A,N/A,HG00140,SAMN33621941,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242350,,N/A,N/A,N/A,PRJNA701308,SAMN33621941,N/A,3.77,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00140-2_S30_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00140-2_S30_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.611291,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00140,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00140,11.682855823,11682855823.0,N/A,N/A,HG00140,SAMN33621941,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242339,,N/A,N/A,N/A,PRJNA701308,SAMN33758779,N/A,9.03,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00280-1_S21_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00280-1_S21_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.511729,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00280,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00280,27.990281383,27990281383.0,N/A,N/A,HG00280,SAMN33758779,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242235,,N/A,N/A,N/A,PRJNA701308,SAMN33758779,N/A,9.71,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00280-1_S21_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00280-1_S21_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.527324,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00280,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00280,30.106363791,30106363791.0,N/A,N/A,HG00280,SAMN33758779,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242224,,N/A,N/A,N/A,PRJNA701308,SAMN33758779,N/A,9.71,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00280-1_S21_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00280-1_S21_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.525498,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00280,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00280,30.105901448,30105901448.0,N/A,N/A,HG00280,SAMN33758779,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242333,,N/A,N/A,N/A,PRJNA701308,SAMN33758779,N/A,9.61,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00280-1_S21_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00280-1_S21_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.528697,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00280,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00280,29.777940263,29777940263.0,N/A,N/A,HG00280,SAMN33758779,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242321,,N/A,N/A,N/A,PRJNA701308,SAMN33758779,N/A,3.6,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00280-2_S29_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00280-2_S29_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.596472,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00280,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00280,11.174314891,11174314891.0,N/A,N/A,HG00280,SAMN33758779,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242314,,N/A,N/A,N/A,PRJNA701308,SAMN33758779,N/A,3.96,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00280-2_S29_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00280-2_S29_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.594296,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00280,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00280,12.278822216,12278822216.0,N/A,N/A,HG00280,SAMN33758779,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242175,,N/A,N/A,N/A,PRJNA701308,SAMN33758779,N/A,3.96,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00280-2_S29_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00280-2_S29_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.585727,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00280,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00280,12.282924436,12282924436.0,N/A,N/A,HG00280,SAMN33758779,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242526,,N/A,N/A,N/A,PRJNA701308,SAMN33758779,N/A,3.92,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00280-2_S29_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00280-2_S29_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.579023,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00280,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00280,12.137842068,12137842068.0,N/A,N/A,HG00280,SAMN33758779,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242517,,N/A,N/A,N/A,PRJNA701308,SAMN33621942,N/A,3.0,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00323-1_S23_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00323-1_S23_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.668508,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00323,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00323,9.30726883,9307268830.0,N/A,N/A,HG00323,SAMN33621942,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242506,,N/A,N/A,N/A,PRJNA701308,SAMN33621942,N/A,3.09,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00323-1_S23_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00323-1_S23_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.624167,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00323,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00323,9.57280626,9572806260.0,N/A,N/A,HG00323,SAMN33621942,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242207,,N/A,N/A,N/A,PRJNA701308,SAMN33621942,N/A,2.89,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00323-1_S23_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00323-1_S23_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.663599,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00323,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00323,8.948801097,8948801097.0,N/A,N/A,HG00323,SAMN33621942,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242196,,N/A,N/A,N/A,PRJNA701308,SAMN33621942,N/A,2.99,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00323-1_S23_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00323-1_S23_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.628386,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00323,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00323,9.27341895,9273418950.0,N/A,N/A,HG00323,SAMN33621942,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242449,,N/A,N/A,N/A,PRJNA701308,SAMN33621942,N/A,4.34,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00323-2_S31_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00323-2_S31_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.586155,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00323,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00323,13.454844253,13454844253.0,N/A,N/A,HG00323,SAMN33621942,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242438,,N/A,N/A,N/A,PRJNA701308,SAMN33621942,N/A,4.46,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00323-2_S31_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00323-2_S31_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.629683,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00323,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00323,13.831739909,13831739909.0,N/A,N/A,HG00323,SAMN33621942,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242306,,N/A,N/A,N/A,PRJNA701308,SAMN33621942,N/A,4.18,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00323-2_S31_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00323-2_S31_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.604095,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00323,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00323,12.967687388,12967687388.0,N/A,N/A,HG00323,SAMN33621942,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242493,,N/A,N/A,N/A,PRJNA701308,SAMN33621942,N/A,4.33,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00323-2_S31_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00323-2_S31_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.581474,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00323,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00323,13.42278644,13422786440.0,N/A,N/A,HG00323,SAMN33621942,,FIN,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242502,,N/A,N/A,N/A,PRJNA701308,SAMN37797099,N/A,5.12,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG01530-1_S3_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG01530-1_S3_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.531106,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG01530,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG01530,15.881878484,15881878484.0,N/A,N/A,HG01530,SAMN37797099,,IBS,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242424,,N/A,N/A,N/A,PRJNA701308,SAMN37797099,N/A,5.2,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG01530-1_S3_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG01530-1_S3_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.543372,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG01530,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG01530,16.121034186,16121034186.0,N/A,N/A,HG01530,SAMN37797099,,IBS,EUR,YR3
