accession,barcode,basecaller,basecaller_model,basecaller_version,bioproject_accession,biosample_accession,ccs_algorithm,coverage,coverage_over_100kb,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,family_id,filename,filetype,gender,generator_contact,generator_facility,instrument_model,iso_filename,library_source,library_strategy,lima_version,maternal_id,mm_tag,n50,other_comments,paternal_id,path,phasing,platform,platform_unit_1,platform_unit_2,pool,primrose_filename,production,relationship,sample_id,second_order,sequencing_chemistry,siblings,study,third_order,total_gbp,total_reads,whales,file_size
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.54,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L007_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L007_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.67,N/A,N/A,893963604
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.54,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L007_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L007_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.68,N/A,N/A,1018865396
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.55,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L001_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L001_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.72,N/A,N/A,921091834
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.55,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L003_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L003_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.7,N/A,N/A,1031936773
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.56,N/A,N/A,N/A,N/A,N/A,NWM205b-1_S21_L001_R1_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-1_S21_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,1.73,N/A,N/A,984710463
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.56,N/A,N/A,N/A,N/A,N/A,NWM205b-1_S21_L001_R2_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-1_S21_L001_R2_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,1.73,N/A,N/A,970971227
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.56,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L001_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L001_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.74,N/A,N/A,1049445130
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.63,N/A,N/A,N/A,N/A,N/A,NWM205b-1_S21_L002_R1_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-1_S21_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,1.96,N/A,N/A,1114439538
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.63,N/A,N/A,N/A,N/A,N/A,NWM205b-1_S21_L002_R2_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-1_S21_L002_R2_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,1.96,N/A,N/A,1102758791
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.63,N/A,N/A,N/A,N/A,N/A,NWM205b-1_S21_L003_R1_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-1_S21_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,1.94,N/A,N/A,1103655297
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.63,N/A,N/A,N/A,N/A,N/A,NWM205b-1_S21_L003_R2_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-1_S21_L003_R2_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,1.94,N/A,N/A,1090884116
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.68,N/A,N/A,N/A,N/A,N/A,NWM205b-2_S22_L001_R1_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-2_S22_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,2.1,N/A,N/A,1186996135
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.68,N/A,N/A,N/A,N/A,N/A,NWM205b-2_S22_L001_R2_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-2_S22_L001_R2_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,2.1,N/A,N/A,1168901522
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.76,N/A,N/A,N/A,N/A,N/A,NWM205b-2_S22_L003_R1_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-2_S22_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,2.35,N/A,N/A,1329932859
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.76,N/A,N/A,N/A,N/A,N/A,NWM205b-2_S22_L003_R2_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-2_S22_L003_R2_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,2.35,N/A,N/A,1312445135
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.77,N/A,N/A,N/A,N/A,N/A,NWM205b-1_S21_L004_R1_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-1_S21_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,2.39,N/A,N/A,1363690751
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.77,N/A,N/A,N/A,N/A,N/A,NWM205b-1_S21_L004_R2_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-1_S21_L004_R2_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,2.39,N/A,N/A,1341739566
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.77,N/A,N/A,N/A,N/A,N/A,NWM205b-2_S22_L002_R1_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-2_S22_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,2.38,N/A,N/A,1346884339
,N/A,,N/A,,PRJNA701308,SAMN17861240,N/A,0.77,N/A,N/A,N/A,N/A,N/A,NWM205b-2_S22_L002_R2_001.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02572/raw_data/hic/NWM205b-2_S22_L002_R2_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02572,N/A,N/A,N/A,SRP305758,N/A,2.38,N/A,N/A,1331120972
,N/A,,N/A,,PRJNA731524,SAMN12162856,N/A,0.79,N/A,N/A,N/A,N/A,N/A,SE5138_NWM048-4_S4_L002_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/hic/SE5138_NWM048-4_S4_L002_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02055,N/A,N/A,N/A,SRP320775,N/A,2.45,N/A,N/A,1340002966
,N/A,,N/A,,PRJNA731524,SAMN12162856,N/A,0.8,N/A,N/A,N/A,N/A,N/A,SE5138_NWM048-4_S4_L002_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/hic/SE5138_NWM048-4_S4_L002_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02055,N/A,N/A,N/A,SRP320775,N/A,2.48,N/A,N/A,1528378681
,N/A,,N/A,,PRJNA731524,SAMN12162856,N/A,0.83,N/A,N/A,N/A,N/A,N/A,SE5138_NWM048-4_S4_L008_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/hic/SE5138_NWM048-4_S4_L008_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02055,N/A,N/A,N/A,SRP320775,N/A,2.58,N/A,N/A,1396093032
,N/A,,N/A,,PRJNA731524,SAMN13957942,N/A,0.83,N/A,N/A,N/A,N/A,N/A,SE5138_NWM051-4_S8_L002_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02080/raw_data/hic/SE5138_NWM051-4_S8_L002_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02080,N/A,N/A,N/A,SRP320775,N/A,2.58,N/A,N/A,1410283143
,N/A,,N/A,,PRJNA731524,SAMN12162856,N/A,0.84,N/A,N/A,N/A,N/A,N/A,SE5138_NWM048-4_S4_L008_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/hic/SE5138_NWM048-4_S4_L008_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02055,N/A,N/A,N/A,SRP320775,N/A,2.61,N/A,N/A,1579419911
,N/A,,N/A,,PRJNA731524,SAMN13957942,N/A,0.84,N/A,N/A,N/A,N/A,N/A,SE5138_NWM051-4_S8_L002_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02080/raw_data/hic/SE5138_NWM051-4_S8_L002_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02080,N/A,N/A,N/A,SRP320775,N/A,2.6,N/A,N/A,1602298875
,N/A,,N/A,,PRJNA731524,SAMN12162856,N/A,0.85,N/A,N/A,N/A,N/A,N/A,SE5138_NWM048-4_S4_L004_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/hic/SE5138_NWM048-4_S4_L004_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02055,N/A,N/A,N/A,SRP320775,N/A,2.62,N/A,N/A,1397292476
,N/A,,N/A,,PRJNA731524,SAMN12162856,N/A,0.85,N/A,N/A,N/A,N/A,N/A,SE5138_NWM048-4_S4_L004_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/hic/SE5138_NWM048-4_S4_L004_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02055,N/A,N/A,N/A,SRP320775,N/A,2.64,N/A,N/A,1601671983
,N/A,,N/A,,PRJNA731524,SAMN12162856,N/A,0.86,N/A,N/A,N/A,N/A,N/A,SE5138_NWM048-4_S4_L005_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/hic/SE5138_NWM048-4_S4_L005_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02055,N/A,N/A,N/A,SRP320775,N/A,2.65,N/A,N/A,1410508460
,N/A,,N/A,,PRJNA731524,SAMN12162856,N/A,0.86,N/A,N/A,N/A,N/A,N/A,SE5138_NWM048-4_S4_L005_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/hic/SE5138_NWM048-4_S4_L005_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02055,N/A,N/A,N/A,SRP320775,N/A,2.67,N/A,N/A,1610297801
,N/A,,N/A,,PRJNA731524,SAMN12162856,N/A,0.86,N/A,N/A,N/A,N/A,N/A,SE5138_NWM048-4_S4_L006_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG02055/raw_data/hic/SE5138_NWM048-4_S4_L006_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG02055,N/A,N/A,N/A,SRP320775,N/A,2.66,N/A,N/A,1413813985
